Date,Product,Region,Sales,Profit
01-01-2026,Headphones,Nashik,5530,834.81
02-01-2026,Smartwatch,Nagpur,6748,1334.17
03-01-2026,Tablet,Pune,29971,3641.52
04-01-2026,Smartwatch,Nashik,10994,1483.58
05-01-2026,Smartwatch,Nashik,4495,896.81
06-01-2026,Mobile,Mumbai,30232,2752.07
07-01-2026,Tablet,Pune,23585,5745.68
08-01-2026,Tablet,Nashik,20581,4082.69
09-01-2026,Tablet,Nagpur,24554,3220.24
10-01-2026,Smartwatch,Nagpur,6696,1671.43
11-01-2026,Headphones,Mumbai,698,128.17
12-01-2026,Tablet,Nashik,21737,3257.86
13-01-2026,Smartwatch,Pune,3854,490.88
14-01-2026,Mobile,Nagpur,32392,6084.5
15-01-2026,Headphones,Nashik,5249,893.69
16-01-2026,Mobile,Nashik,35969,8904.51
17-01-2026,Headphones,Mumbai,5535,1000.5
18-01-2026,Smartwatch,Nagpur,6510,1363.68
19-01-2026,Laptop,Nagpur,64218,7781.11
20-01-2026,Headphones,Pune,4389,625.53
21-01-2026,Mobile,Nagpur,27931,6904.04
22-01-2026,Smartwatch,Pune,10125,1732.2
23-01-2026,Headphones,Nagpur,6287,1395.72
24-01-2026,Laptop,Mumbai,69339,11537.58
25-01-2026,Laptop,Nagpur,62511,5434.19
26-01-2026,Tablet,Pune,17659,2391.26
27-01-2026,Tablet,Pune,23546,4730.28
28-01-2026,Mobile,Mumbai,33338,4643.09
29-01-2026,Headphones,Nagpur,1734,190.12
30-01-2026,Headphones,Nagpur,2976,439.22
31-01-2026,Tablet,Mumbai,23694,5668.65
01-02-2026,Headphones,Nagpur,4736,922.89
02-02-2026,Headphones,Nagpur,8120,806.24
03-02-2026,Laptop,Pune,65534,15016.96
04-02-2026,Tablet,Nagpur,17262,3317.71
05-02-2026,Smartwatch,Nagpur,11815,2060.35
06-02-2026,Tablet,Mumbai,28835,3585.37
07-02-2026,Smartwatch,Mumbai,8423,2056.23
08-02-2026,Laptop,Nashik,64548,15044.27
09-02-2026,Mobile,Pune,37282,4178.57
10-02-2026,Headphones,Nagpur,7400,1031.31
11-02-2026,Laptop,Nagpur,62255,14474.83
12-02-2026,Headphones,Nashik,6295,936.48
13-02-2026,Mobile,Nagpur,34888,6598.9
14-02-2026,Mobile,Pune,37874,9054.08
15-02-2026,Laptop,Nashik,65539,15254.48
16-02-2026,Mobile,Pune,37115,6633.07
17-02-2026,Smartwatch,Nashik,14375,1397.97
18-02-2026,Mobile,Nashik,25098,6162.13
19-02-2026,Headphones,Mumbai,2961,317.83
20-02-2026,Headphones,Pune,4433,720.6
21-02-2026,Headphones,Nagpur,11426,2180.46
22-02-2026,Headphones,Nagpur,12259,2464.92
23-02-2026,Smartwatch,Pune,9944,1630.44
24-02-2026,Tablet,Nagpur,21911,4533.46
25-02-2026,Laptop,Nagpur,66015,13632.69
26-02-2026,Headphones,Pune,1218,233.61
27-02-2026,Mobile,Nashik,36296,6251.33
28-02-2026,Headphones,Pune,9146,1303.41
01-03-2026,Mobile,Nashik,28446,3486.87
02-03-2026,Mobile,Nagpur,26693,6550.78
03-03-2026,Headphones,Nagpur,3436,559.2
04-03-2026,Smartwatch,Nagpur,8895,1665.98
05-03-2026,Mobile,Mumbai,25225,3519.22
06-03-2026,Mobile,Nashik,32022,5242.9
07-03-2026,Headphones,Mumbai,12740,1517.74
08-03-2026,Mobile,Mumbai,34007,4343.76
09-03-2026,Mobile,Pune,29642,6244.21
10-03-2026,Headphones,Mumbai,7679,845.53
11-03-2026,Headphones,Pune,9435,1508.57
12-03-2026,Laptop,Pune,61069,14383.4
13-03-2026,Smartwatch,Mumbai,4060,965.53
14-03-2026,Smartwatch,Nashik,3301,806.54
15-03-2026,Mobile,Nashik,28170,6948.31
16-03-2026,Smartwatch,Nashik,12331,1603.72
17-03-2026,Mobile,Nashik,25980,2921.58
18-03-2026,Laptop,Nashik,61184,8191.11
19-03-2026,Headphones,Mumbai,8319,1192.58
20-03-2026,Headphones,Mumbai,5854,1308.46
21-03-2026,Headphones,Nagpur,5442,962.75
22-03-2026,Smartwatch,Nashik,6863,792.79
23-03-2026,Laptop,Mumbai,64014,15895.26
24-03-2026,Smartwatch,Nagpur,6009,740.36
25-03-2026,Smartwatch,Nashik,13729,3146.05
26-03-2026,Laptop,Pune,60784,13632.26
27-03-2026,Laptop,Nagpur,67560,13472.97
28-03-2026,Laptop,Mumbai,67343,11716.29
29-03-2026,Laptop,Pune,65801,14317.73
30-03-2026,Headphones,Pune,5986,739.6
31-03-2026,Tablet,Pune,27647,6503.98
01-04-2026,Tablet,Nagpur,22625,1829.94
02-04-2026,Laptop,Mumbai,72323,15600.81
03-04-2026,Tablet,Pune,19368,1783.02
04-04-2026,Tablet,Nashik,25173,5419.36
05-04-2026,Laptop,Pune,69163,15957.63
06-04-2026,Tablet,Pune,26358,3791.57
07-04-2026,Smartwatch,Nagpur,8919,1590.33
08-04-2026,Mobile,Nagpur,25853,3510.47
09-04-2026,Mobile,Mumbai,28769,4955.45
10-04-2026,Laptop,Nashik,61148,13612.69
